type,values,model,period,lambda
n_breaches,25,baseline,all,0.9
N_observations,5549,baseline,all,0.9
perc_breaches,0.004505316273202379,baseline,all,0.9
conf_level,0.9954946837267976,baseline,all,0.9
avg_shortfall,-0.015352006274126652,baseline,all,0.9
max_shortfall,-0.0580189528435822,baseline,all,0.9
costs,0.08152248062971643,baseline,all,0.9
peak_to_through,7.030603532047874,baseline,all,0.9
max_1d,1.3271706972109,baseline,all,0.9
max_5d,2.0812484822627657,baseline,all,0.9
max_30d,4.398592884355386,baseline,all,0.9
max_ltm,1.7200919356487023,baseline,all,0.9
avg_ltm,1.2092601067789737,baseline,all,0.9
n_breaches,27,speed,all,0.9
N_observations,5549,speed,all,0.9
perc_breaches,0.004865741575058569,speed,all,0.9
conf_level,0.9951342584249414,speed,all,0.9
avg_shortfall,-0.018877041947872996,speed,all,0.9
max_shortfall,-0.061437704972233206,speed,all,0.9
costs,0.08106373268845242,speed,all,0.9
peak_to_through,6.371251174735044,speed,all,0.9
max_1d,1.3271706972109,speed,all,0.9
max_5d,1.9838697569575723,speed,all,0.9
max_30d,1.9044755314567337,speed,all,0.9
max_ltm,1.7200919356487023,speed,all,0.9
avg_ltm,1.24098472913447,speed,all,0.9
n_breaches,15,floor,all,0.9
N_observations,5549,floor,all,0.9
perc_breaches,0.0027031897639214274,floor,all,0.9
conf_level,0.9972968102360785,floor,all,0.9
avg_shortfall,-0.019107885120579815,floor,all,0.9
max_shortfall,-0.0580189528435822,floor,all,0.9
costs,0.08709554106377025,floor,all,0.9
peak_to_through,3.8100122031999324,floor,all,0.9
max_1d,1.2461107298550131,floor,all,0.9
max_5d,1.7948264546038153,floor,all,0.9
max_30d,3.27149356339378,floor,all,0.9
max_ltm,1.5116457139193888,floor,all,0.9
avg_ltm,1.207343898928757,floor,all,0.9
n_breaches,26,cap,all,0.9
N_observations,5549,cap,all,0.9
perc_breaches,0.004685528924130474,cap,all,0.9
conf_level,0.9953144710758696,cap,all,0.9
avg_shortfall,-0.015351799410662347,cap,all,0.9
max_shortfall,-0.0580189528435822,cap,all,0.9
costs,0.07976026234047189,cap,all,0.9
peak_to_through,3.9521375812035804,cap,all,0.9
max_1d,1.3271706972109,cap,all,0.9
max_5d,2.0812484822627657,cap,all,0.9
max_30d,2.9503210650451512,cap,all,0.9
max_ltm,1.7200919356487023,cap,all,0.9
avg_ltm,1.205178779683703,cap,all,0.9
n_breaches,9,buffer,all,0.9
N_observations,5549,buffer,all,0.9
perc_breaches,0.0016219138583528565,buffer,all,0.9
conf_level,0.9983780861416471,buffer,all,0.9
avg_shortfall,-0.011879104561901733,buffer,all,0.9
max_shortfall,-0.027961615637002918,buffer,all,0.9
costs,0.09972192426683306,buffer,all,0.9
peak_to_through,5.6244828256382995,buffer,all,0.9
max_1d,1.3271706972109003,buffer,all,0.9
max_5d,2.0812484822627657,buffer,all,0.9
max_30d,3.518874307484309,buffer,all,0.9
max_ltm,1.376073548518962,buffer,all,0.9
avg_ltm,1.1363337823092214,buffer,all,0.9
n_breaches,16,cap_floor,all,0.9
N_observations,5549,cap_floor,all,0.9
perc_breaches,0.0028834024148495225,cap_floor,all,0.9
conf_level,0.9971165975851505,cap_floor,all,0.9
avg_shortfall,-0.018872806539546996,cap_floor,all,0.9
max_shortfall,-0.0580189528435822,cap_floor,all,0.9
costs,0.08533332277452571,cap_floor,all,0.9
peak_to_through,2.1417353921996365,cap_floor,all,0.9
max_1d,1.231416776379164,cap_floor,all,0.9
max_5d,1.7047499028431967,cap_floor,all,0.9
max_30d,2.1417353921996365,cap_floor,all,0.9
max_ltm,1.5116457139193888,cap_floor,all,0.9
avg_ltm,1.2008315053895806,cap_floor,all,0.9
n_breaches,16,speed_floor,all,0.9
N_observations,5549,speed_floor,all,0.9
perc_breaches,0.0028834024148495225,speed_floor,all,0.9
conf_level,0.9971165975851505,speed_floor,all,0.9
avg_shortfall,-0.0199029571396888,speed_floor,all,0.9
max_shortfall,-0.0580189528435822,speed_floor,all,0.9
costs,0.08683192293653741,speed_floor,all,0.9
peak_to_through,3.5355695848867925,speed_floor,all,0.9
max_1d,1.231416776379164,speed_floor,all,0.9
max_5d,1.7047499028431967,speed_floor,all,0.9
max_30d,1.9044755314567337,speed_floor,all,0.9
max_ltm,1.5116457139193888,speed_floor,all,0.9
avg_ltm,1.2094208836612559,speed_floor,all,0.9
n_breaches,6,baseline,covid,0.9
N_observations,252,baseline,covid,0.9
perc_breaches,0.023809523809523808,baseline,covid,0.9
conf_level,0.9761904761904762,baseline,covid,0.9
avg_shortfall,-0.013546257529874645,baseline,covid,0.9
max_shortfall,-0.02554688749508109,baseline,covid,0.9
costs,0.12921307844591365,baseline,covid,0.9
peak_to_through,5.337389694855143,baseline,covid,0.9
max_1d,1.2861900848707377,baseline,covid,0.9
max_5d,2.0231577578394297,baseline,covid,0.9
max_30d,4.398592884355386,baseline,covid,0.9
max_ltm,1.3629587347466658,baseline,covid,0.9
avg_ltm,1.1765110343661038,baseline,covid,0.9
n_breaches,8,speed,covid,0.9
N_observations,252,speed,covid,0.9
perc_breaches,0.031746031746031744,speed,covid,0.9
conf_level,0.9682539682539683,speed,covid,0.9
avg_shortfall,-0.025894690114831555,speed,covid,0.9
max_shortfall,-0.061437704972233206,speed,covid,0.9
costs,0.12051936779593907,speed,covid,0.9
