type,values,model,period,lambda
n_breaches,10,baseline,all,0.9
N_observations,5549,baseline,all,0.9
perc_breaches,0.0018021265092809514,baseline,all,0.9
conf_level,0.9981978734907191,baseline,all,0.9
avg_shortfall,-0.010648233508114165,baseline,all,0.9
max_shortfall,-0.033319606817845654,baseline,all,0.9
costs,0.07613189732840603,baseline,all,0.9
peak_to_through,6.895198992004146,baseline,all,0.9
max_1d,1.319090007770817,baseline,all,0.9
max_5d,2.0752384467877394,baseline,all,0.9
max_30d,4.554391552893604,baseline,all,0.9
max_ltm,1.428067537294912,baseline,all,0.9
avg_ltm,1.1488172472810116,baseline,all,0.9
n_breaches,13,speed,all,0.9
N_observations,5549,speed,all,0.9
perc_breaches,0.002342764462065237,speed,all,0.9
conf_level,0.9976572355379347,speed,all,0.9
avg_shortfall,-0.01788450644135404,speed,all,0.9
max_shortfall,-0.06316443517765534,speed,all,0.9
costs,0.07579052334573787,speed,all,0.9
peak_to_through,6.635010798980176,speed,all,0.9
max_1d,1.319090007770817,speed,all,0.9
max_5d,2.0752384467877394,speed,all,0.9
max_30d,2.0402713853650294,speed,all,0.9
max_ltm,1.6950781098313108,speed,all,0.9
avg_ltm,1.2315526108072141,speed,all,0.9
n_breaches,5,floor,all,0.9
N_observations,5549,floor,all,0.9
perc_breaches,9.010632546404757e-4,floor,all,0.9
conf_level,0.9990989367453595,floor,all,0.9
avg_shortfall,-0.018093627681850834,floor,all,0.9
max_shortfall,-0.033319606817845654,floor,all,0.9
costs,0.08437543656607577,floor,all,0.9
peak_to_through,3.386765374060476,floor,all,0.9
max_1d,1.2708484463958551,floor,all,0.9
max_5d,1.8601546103283035,floor,all,0.9
max_30d,3.286678136291,floor,all,0.9
max_ltm,1.428067537294912,floor,all,0.9
avg_ltm,1.2053756780792044,floor,all,0.9
n_breaches,11,cap,all,0.9
N_observations,5549,cap,all,0.9
perc_breaches,0.0019823391602090466,cap,all,0.9
conf_level,0.9980176608397909,cap,all,0.9
avg_shortfall,-0.0105808176559654,cap,all,0.9
max_shortfall,-0.033319606817845654,cap,all,0.9
costs,0.07446226458912361,cap,all,0.9
peak_to_through,4.404204722926203,cap,all,0.9
max_1d,1.319090007770817,cap,all,0.9
max_5d,2.0752384467877394,cap,all,0.9
max_30d,3.920820298296289,cap,all,0.9
max_ltm,1.428067537294912,cap,all,0.9
avg_ltm,1.141663417098885,cap,all,0.9
n_breaches,4,buffer,all,0.9
N_observations,5549,buffer,all,0.9
perc_breaches,7.208506037123806e-4,buffer,all,0.9
conf_level,0.9992791493962876,buffer,all,0.9
avg_shortfall,-0.00916998636151498,buffer,all,0.9
max_shortfall,-0.017343346123272763,buffer,all,0.9
costs,0.09248749206401752,buffer,all,0.9
peak_to_through,5.5161591936033165,buffer,all,0.9
max_1d,1.319090007770817,buffer,all,0.9
max_5d,2.0752384467877394,buffer,all,0.9
max_30d,3.6435132423148833,buffer,all,0.9
max_ltm,1.1424540298359296,buffer,all,0.9
avg_ltm,1.0808048946329594,buffer,all,0.9
n_breaches,6,cap_floor,all,0.9
N_observations,5549,cap_floor,all,0.9
perc_breaches,0.001081275905568571,cap_floor,all,0.9
conf_level,0.9989187240944314,cap_floor,all,0.9
avg_shortfall,-0.01672913292395532,cap_floor,all,0.9
max_shortfall,-0.033319606817845654,cap_floor,all,0.9
costs,0.08270580382679335,cap_floor,all,0.9
peak_to_through,2.1262764659158426,cap_floor,all,0.9
max_1d,1.2262626825106546,cap_floor,all,0.9
max_5d,1.787508095300796,cap_floor,all,0.9
max_30d,2.1262764659158426,cap_floor,all,0.9
max_ltm,1.428067537294912,cap_floor,all,0.9
avg_ltm,1.1828339176122735,cap_floor,all,0.9
n_breaches,6,speed_floor,all,0.9
N_observations,5549,speed_floor,all,0.9
perc_breaches,0.001081275905568571,speed_floor,all,0.9
conf_level,0.9989187240944314,speed_floor,all,0.9
avg_shortfall,-0.017410593375316193,speed_floor,all,0.9
max_shortfall,-0.033319606817845654,speed_floor,all,0.9
costs,0.08421327707488006,speed_floor,all,0.9
peak_to_through,3.386765374060476,speed_floor,all,0.9
max_1d,1.2567622574728308,speed_floor,all,0.9
max_5d,1.7152057488345955,speed_floor,all,0.9
max_30d,2.0402713853650294,speed_floor,all,0.9
max_ltm,1.428067537294912,speed_floor,all,0.9
avg_ltm,1.1878025133994137,speed_floor,all,0.9
n_breaches,4,baseline,covid,0.9
N_observations,252,baseline,covid,0.9
perc_breaches,0.015873015873015872,baseline,covid,0.9
conf_level,0.9841269841269842,baseline,covid,0.9
avg_shortfall,-0.0017030496772326535,baseline,covid,0.9
max_shortfall,-0.004961123199755932,baseline,covid,0.9
costs,0.09512343198073873,baseline,covid,0.9
peak_to_through,6.5807394710053915,baseline,covid,0.9
max_1d,1.2828551364242724,baseline,covid,0.9
max_5d,2.0440929425050185,baseline,covid,0.9
max_30d,4.554391552893604,baseline,covid,0.9
max_ltm,1.1428836638106592,baseline,covid,0.9
avg_ltm,1.0471074738293993,baseline,covid,0.9
n_breaches,7,speed,covid,0.9
N_observations,252,speed,covid,0.9
perc_breaches,0.027777777777777776,speed,covid,0.9
conf_level,0.9722222222222222,speed,covid,0.9
avg_shortfall,-0.018975492480770215,speed,covid,0.9
max_shortfall,-0.06316443517765534,speed,covid,0.9
costs,0.0889120984252413,speed,covid,0.9
peak_to_through,4.894005412520211,speed,covid,0.9
max_1d,1.2828551364242724,speed,covid,0.9
max_5d,1.9031345116218212,speed,covid,0.9
max_30d,2.0402713853650294,speed,covid,0.9
max_ltm,1.6950781098313108,speed,covid,0.9
avg_ltm,1.244348766143038,speed,covid,0.9
n_breaches,0,floor,covid,0.9
N_observations,252,floor,covid,0.9
perc_breaches,0,floor,covid,0.9
conf_level,1,floor,covid,0.9
avg_shortfall,NA,floor,covid,0.9
max_shortfall,Inf,floor,covid,0.9
costs,0.10175921389010631,floor,covid,0.9
peak_to_through,3.3288868857949128,floor,covid,0.9
max_1d,1.2113882855731741,floor,covid,0.9
max_5d,1.8601546103283035,floor,covid,0.9
max_30d,3.286678136291,floor,covid,0.9
max_ltm,-Inf,floor,covid,0.9
avg_ltm,NA,floor,covid,0.9
n_breaches,5,cap,covid,0.9
N_observations,252,cap,covid,0.9
perc_breaches,0.01984126984126984,cap,covid,0.9
conf_level,0.9801587301587301,cap,covid,0.9
avg_shortfall,-0.0029808577318490544,cap,covid,0.9
max_shortfall,-0.008092089950314657,cap,covid,0.9
costs,0.09061144154614319,cap,covid,0.9
peak_to_through,4.2033484301407675,cap,covid,0.9
max_1d,1.2828551364242724,cap,covid,0.9
max_5d,2.0440929425050185,cap,covid,0.9
max_30d,3.920820298296289,cap,covid,0.9
max_ltm,1.1428836638106592,cap,covid,0.9
avg_ltm,1.0487751191913477,cap,covid,0.9
n_breaches,0,buffer,covid,0.9
N_observations,252,buffer,covid,0.9
perc_breaches,0,buffer,covid,0.9
conf_level,1,buffer,covid,0.9
avg_shortfall,NA,buffer,covid,0.9
max_shortfall,Inf,buffer,covid,0.9
costs,0.11118713185380288,buffer,covid,0.9
peak_to_through,5.264591576804314,buffer,covid,0.9
max_1d,1.2828551364242724,buffer,covid,0.9
max_5d,2.0440929425050185,buffer,covid,0.9
max_30d,3.6435132423148833,buffer,covid,0.9
max_ltm,-Inf,buffer,covid,0.9
avg_ltm,NA,buffer,covid,0.9
n_breaches,1,cap_floor,covid,0.9
N_observations,252,cap_floor,covid,0.9
perc_breaches,0.003968253968253968,cap_floor,covid,0.9
conf_level,0.996031746031746,cap_floor,covid,0.9
avg_shortfall,-0.008092089950314657,cap_floor,covid,0.9
max_shortfall,-0.008092089950314657,cap_floor,covid,0.9
costs,0.09724722345551076,cap_floor,covid,0.9
peak_to_through,2.1262764659158426,cap_floor,covid,0.9
max_1d,1.2113882855731741,cap_floor,covid,0.9
max_5d,1.787508095300796,cap_floor,covid,0.9
max_30d,2.1262764659158426,cap_floor,covid,0.9
max_ltm,1.0554457006391407,cap_floor,covid,0.9
avg_ltm,1.0554457006391407,cap_floor,covid,0.9
n_breaches,1,speed_floor,covid,0.9
N_observations,252,speed_floor,covid,0.9
perc_breaches,0.003968253968253968,speed_floor,covid,0.9
conf_level,0.996031746031746,speed_floor,covid,0.9
avg_shortfall,-0.013995421842642991,speed_floor,covid,0.9
max_shortfall,-0.013995421842642991,speed_floor,covid,0.9
costs,0.09940779272982757,speed_floor,covid,0.9
peak_to_through,2.7754773526023087,speed_floor,covid,0.9
max_1d,1.2113882855731741,speed_floor,covid,0.9
max_5d,1.7152057488345955,speed_floor,covid,0.9
max_30d,2.0402713853650294,speed_floor,covid,0.9
max_ltm,1.0999366900004595,speed_floor,covid,0.9
avg_ltm,1.0999366900004595,speed_floor,covid,0.9
n_breaches,0,baseline,financialcrisis,0.9
N_observations,462,baseline,financialcrisis,0.9
perc_breaches,0,baseline,financialcrisis,0.9
conf_level,1,baseline,financialcrisis,0.9
avg_shortfall,NA,baseline,financialcrisis,0.9
max_shortfall,Inf,baseline,financialcrisis,0.9
costs,0.08689176896416484,baseline,financialcrisis,0.9
peak_to_through,6.3510055079640715,baseline,financialcrisis,0.9
max_1d,1.319090007770817,baseline,financialcrisis,0.9
max_5d,2.0752384467877394,baseline,financialcrisis,0.9
max_30d,2.5816376645592127,baseline,financialcrisis,0.9
max_ltm,-Inf,baseline,financialcrisis,0.9
avg_ltm,NA,baseline,financialcrisis,0.9
n_breaches,0,speed,financialcrisis,0.9
N_observations,462,speed,financialcrisis,0.9
perc_breaches,0,speed,financialcrisis,0.9
conf_level,1,speed,financialcrisis,0.9
avg_shortfall,NA,speed,financialcrisis,0.9
max_shortfall,Inf,speed,financialcrisis,0.9
costs,0.08650829067609074,speed,financialcrisis,0.9
peak_to_through,6.302470917926388,speed,financialcrisis,0.9
max_1d,1.319090007770817,speed,financialcrisis,0.9
max_5d,2.0752384467877394,speed,financialcrisis,0.9
max_30d,2.0402713853650294,speed,financialcrisis,0.9
max_ltm,-Inf,speed,financialcrisis,0.9
avg_ltm,NA,speed,financialcrisis,0.9
n_breaches,0,floor,financialcrisis,0.9
N_observations,462,floor,financialcrisis,0.9
perc_breaches,0,floor,financialcrisis,0.9
conf_level,1,floor,financialcrisis,0.9
avg_shortfall,NA,floor,financialcrisis,0.9
max_shortfall,Inf,floor,financialcrisis,0.9
costs,0.09643307334108753,floor,financialcrisis,0.9
peak_to_through,3.2279403979637333,floor,financialcrisis,0.9
max_1d,1.2708484463958551,floor,financialcrisis,0.9
max_5d,1.7469583322332876,floor,financialcrisis,0.9
max_30d,2.5636500671999194,floor,financialcrisis,0.9
max_ltm,-Inf,floor,financialcrisis,0.9
avg_ltm,NA,floor,financialcrisis,0.9
n_breaches,0,cap,financialcrisis,0.9
N_observations,462,cap,financialcrisis,0.9
perc_breaches,0,cap,financialcrisis,0.9
conf_level,1,cap,financialcrisis,0.9
avg_shortfall,NA,cap,financialcrisis,0.9
max_shortfall,Inf,cap,financialcrisis,0.9
costs,0.08099860099565222,cap,financialcrisis,0.9
peak_to_through,4.18347053588863,cap,financialcrisis,0.9
max_1d,1.319090007770817,cap,financialcrisis,0.9
max_5d,2.0752384467877394,cap,financialcrisis,0.9
max_30d,2.1843649609387543,cap,financialcrisis,0.9
max_ltm,-Inf,cap,financialcrisis,0.9
avg_ltm,NA,cap,financialcrisis,0.9
n_breaches,0,buffer,financialcrisis,0.9
N_observations,462,buffer,financialcrisis,0.9
perc_breaches,0,buffer,financialcrisis,0.9
